OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-05-01T00:00:00,2022-05-31T23:59:59,Month,2022-05,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,227636,304329,201748,160136,109819
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-05-01T00:00:00,2022-05-31T23:59:59,Month,2022-05,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,197082,272964,169205,134915,94334
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-05-01T00:00:00,2022-05-31T23:59:59,Month,2022-05,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,225095,280968,191328,150469,102412
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-05-01T00:00:00,2022-05-31T23:59:59,Month,2022-05,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,178637,291131,195377,148706,110867
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-05-01T00:00:00,2022-05-31T23:59:59,Month,2022-05,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,255950,313151,211162,172307,110931
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-05-01T00:00:00,2022-05-31T23:59:59,Month,2022-05,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,232680,290424,198012,158801,93943
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-05-01T00:00:00,2022-05-31T23:59:59,Month,2022-05,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,266099,378986,241928,193072,123612
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-05-01T00:00:00,2022-05-31T23:59:59,Month,2022-05,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,207711,276519,177034,142220,102436
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-04-01T00:00:00,2022-04-30T23:59:59,Month,2022-04,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,225309,300812,199711,158877,109545
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-04-01T00:00:00,2022-04-30T23:59:59,Month,2022-04,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,194795,269804,167209,133245,93914
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-04-01T00:00:00,2022-04-30T23:59:59,Month,2022-04,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,218548,272864,185621,145854,100182
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-04-01T00:00:00,2022-04-30T23:59:59,Month,2022-04,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,181371,295692,198208,150892,113220
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-04-01T00:00:00,2022-04-30T23:59:59,Month,2022-04,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,255723,312996,210841,171900,111389
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-04-01T00:00:00,2022-04-30T23:59:59,Month,2022-04,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,229404,286395,195108,156426,93409
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-04-01T00:00:00,2022-04-30T23:59:59,Month,2022-04,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,260081,370502,236316,188525,121606
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-04-01T00:00:00,2022-04-30T23:59:59,Month,2022-04,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,209524,278947,178487,143421,104072
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-03-01T00:00:00,2022-03-31T23:59:59,Month,2022-03,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,223149,297999,197867,157111,108712
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-03-01T00:00:00,2022-03-31T23:59:59,Month,2022-03,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,188358,260821,161888,128647,91095
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-03-01T00:00:00,2022-03-31T23:59:59,Month,2022-03,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,217076,271084,184391,144584,99862
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-03-01T00:00:00,2022-03-31T23:59:59,Month,2022-03,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,178836,291472,195533,148708,111816
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-03-01T00:00:00,2022-03-31T23:59:59,Month,2022-03,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,252969,309704,208690,169601,110189
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-03-01T00:00:00,2022-03-31T23:59:59,Month,2022-03,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,227382,283869,193534,154781,92844
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-03-01T00:00:00,2022-03-31T23:59:59,Month,2022-03,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,258366,368071,234929,187019,121053
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-03-01T00:00:00,2022-03-31T23:59:59,Month,2022-03,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,209601,279085,178671,143284,104374
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-02-01T00:00:00,2022-02-28T23:59:59,Month,2022-02,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,220836,294952,195202,155900,108232
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-02-01T00:00:00,2022-02-28T23:59:59,Month,2022-02,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,183441,253958,157206,125653,89759
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-02-01T00:00:00,2022-02-28T23:59:59,Month,2022-02,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,218097,272242,184968,145623,101015
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-02-01T00:00:00,2022-02-28T23:59:59,Month,2022-02,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,177410,288578,193440,147936,111242
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-02-01T00:00:00,2022-02-28T23:59:59,Month,2022-02,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,248812,304764,204863,166981,109188
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-02-01T00:00:00,2022-02-28T23:59:59,Month,2022-02,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,224449,280690,190184,152834,92800
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-02-01T00:00:00,2022-02-28T23:59:59,Month,2022-02,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,252737,359632,229339,183689,118804
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-02-01T00:00:00,2022-02-28T23:59:59,Month,2022-02,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,209567,278806,178195,143910,104904
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-01-01T00:00:00,2022-01-31T23:59:59,Month,2022-01,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,218405,292066,192808,153890,106928
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-19T00:00:00,,2022-01-01T00:00:00,2022-01-31T23:59:59,Month,2022-01,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,181913,252168,155711,124308,88726
